filename,title,authors,year,word_count,primary_modality,primary_task,is_ecg_based,is_wearable,uses_deep_learning,uses_traditional_ml,modalities,tasks,study_types,datasets,ml_methods,evaluation
Chopannavaz and Ghaderi - 2025 - An Empirical Investigation of Reconstruction-Based Models for Seizure Prediction from ECG Signals.md,An Empirical Investigation of Reconstruction-Based Models for Seizure Prediction from ECG Signals,Chopannavaz and Ghaderi,2025.0,9153,ECG,prediction,True,False,True,True,ECG; HRV; EEG,detection; prediction; forecasting,review; retrospective; prospective; experimental,Siena; clinical; Physionet,"deep_learning: CNN, convolutional neural network, LSTM, RNN, deep learning, transformer, autoencoder, GAN, neural network; traditional_ml: support vector; signal_processing: wavelet, Fourier, filtering",patient_specific
Singh et al. - 2021 - Proof of Concept of a Novel Neck-Situated Wearable PPG System for Continuous Physiological Monitorin.md,Proof of Concept of a Novel Neck-Situated Wearable PPG System for Continuous Physiological Monitorin,Singh et al.,2021.0,7090,PPG,detection,True,True,True,True,ECG; PPG; ACC; EEG,detection,review; retrospective; experimental,clinical; EMU; wearable,"deep_learning: GAN; traditional_ml: kNN; signal_processing: wavelet, bandpass",cross_validation
Lázaro et al. - 2020 - Wearable Armband Device for Daily Life Electrocardiogram Monitoring.md,Wearable Armband Device for Daily Life Electrocardiogram Monitoring,Lázaro et al.,2020.0,8027,ECG,detection,True,True,True,True,ECG; HRV; PPG; ACC,detection,review; experimental,clinical; wearable,"deep_learning: GAN; traditional_ml: SVM, support vector; signal_processing: wavelet",
Zia et al. - 2021 - Detection of Generalized Tonic Clonic Seizures and Falls in Unconstraint Environment Using Smartphon.md,Detection of Generalized Tonic Clonic Seizures and Falls in Unconstraint Environment Using Smartphon,Zia et al.,2021.0,6930,ACC,detection,True,True,True,True,ECG; PPG; ACC; EEG,detection; prediction,review; prospective; experimental,wearable,"deep_learning: CNN, convolutional neural network, deep learning, GAN, neural network; traditional_ml: SVM, support vector, random forest, decision tree, kNN; signal_processing: FFT, Fourier",cross_validation
Hussein et al. - 2018 - Focal and Non-Focal Epilepsy Localization A Review.md,Focal and Non-Focal Epilepsy Localization A Review,Hussein et al.,2018.0,16293,EEG,detection,True,True,True,True,ECG; HRV; EEG,detection; prediction,review,clinical; Freiburg; wearable,"deep_learning: convolutional neural network, deep learning, GAN, neural network; traditional_ml: SVM, support vector, random forest, decision tree; signal_processing: wavelet, Fourier, spectral analysis",patient_specific
Jafleh et al. - 2024 - The Role of Wearable Devices in Chronic Disease Monitoring and Patient Care A Comprehensive Review.md,The Role of Wearable Devices in Chronic Disease Monitoring and Patient Care A Comprehensive Review,Jafleh et al.,2024.0,19268,ECG,detection,True,True,True,True,ECG; HRV; PPG; EDA; ACC; EEG,detection; prediction; forecasting,review; clinical_trial; retrospective; prospective; experimental,clinical; EMU; wearable,"deep_learning: CNN, deep learning, GAN; traditional_ml: SVM, support vector, random forest; signal_processing: filtering",patient_specific
Mason et al. - 2024 - Heart Rate Variability as a Tool for Seizure Prediction A Scoping Review 1.md,Heart Rate Variability as a Tool for Seizure Prediction A Scoping Review 1,Mason et al.,2024.0,11516,HRV,detection,True,True,True,True,ECG; HRV; PPG; EDA; EEG,detection; prediction; forecasting,review; prospective; experimental,clinical; EMU; wearable,"deep_learning: GAN, neural network; traditional_ml: SVM, support vector, random forest, logistic regression; signal_processing: wavelet, FFT, Fourier, spectral analysis",patient_specific
Yang et al. - 2022 - A Multimodal AI System for Out-of-Distribution Generalization of Seizure Identification.md,A Multimodal AI System for Out-of-Distribution Generalization of Seizure Identification,Yang et al.,2022.0,9085,EEG,detection,True,True,True,False,ECG; HRV; PPG; EEG,detection,review; clinical_trial; retrospective; prospective,EMU; TUH; Temple; wearable; clinical; Epilepsiae,"deep_learning: CNN, convolutional neural network, LSTM, deep learning, GAN, neural network; signal_processing: Fourier",
Wang et al. - 2025 - ACE Automated Optimization Towards Iterative Classification in Edge Health Monitors.md,ACE Automated Optimization Towards Iterative Classification in Edge Health Monitors,Wang et al.,2025.0,8938,ECG,detection,True,True,True,True,ECG; HRV; PPG; EEG,detection; prediction,review; experimental,wearable,"deep_learning: CNN, convolutional neural network, GAN, neural network; traditional_ml: SVM, random forest, decision tree; signal_processing: wavelet",
Wang et al. - 2025 - Epileptic Seizure Detection Based on Attitude Angle Signal of Wearable Device.md,Epileptic Seizure Detection Based on Attitude Angle Signal of Wearable Device,Wang et al.,2025.0,7424,ACC,detection,True,True,True,True,ECG; PPG; EDA; ACC; EEG,detection; forecasting,review; prospective; experimental,clinical; wearable,"deep_learning: convolutional neural network, LSTM, RNN, deep learning, neural network; traditional_ml: SVM, XGBoost, kNN; signal_processing: filtering, bandpass",cross_validation; patient_specific
Leal et al. - 2017 - On the viability of ECG features for seizure anticipation on long-term data.md,On the viability of ECG features for seizure anticipation on long-term data,Leal et al.,2017.0,2468,ECG,prediction,True,False,True,False,ECG; HRV; EEG,detection; prediction,,clinical; European Epilepsy Database; Epilepsiae; Freiburg,deep_learning: GAN,
Kulkarni et al. - 2018 - An Energy-Efficient Programmable Manycore Accelerator for Personalized Biomedical Applications.md,An Energy-Efficient Programmable Manycore Accelerator for Personalized Biomedical Applications,Kulkarni et al.,2018.0,12444,EEG,detection,True,True,True,True,ECG; EDA; ACC; EEG,detection,review; experimental,wearable,"deep_learning: CNN, convolutional neural network, deep learning, GAN, neural network; traditional_ml: SVM, support vector, logistic regression, kNN, naive bayes; signal_processing: FFT, Fourier",patient_specific
Gopalakrishnan et al. - 2025 - VPSI 2.0 IoT-Based Hybrid Protocol With Simultaneous Equations for Real-Time Seizure Classification.md,VPSI 2.0 IoT-Based Hybrid Protocol With Simultaneous Equations for Real-Time Seizure Classification,Gopalakrishnan et al.,2025.0,7703,EEG,detection,True,True,True,False,ECG; PPG; EDA; ACC; EEG,detection; prediction,review; experimental,clinical; wearable,"deep_learning: CNN, deep learning, GAN; signal_processing: wavelet",cross_validation
Fujiwara et al. - 2016 - Epileptic Seizure Prediction Based on Multivariate Statistical Process Control of Heart Rate Variabi.md,Epileptic Seizure Prediction Based on Multivariate Statistical Process Control of Heart Rate Variabi,Fujiwara et al.,2016.0,7810,HRV,prediction,True,True,True,False,ECG; HRV; EEG,detection; prediction,review; clinical_trial; retrospective; prospective,clinical; TUH; wearable,"deep_learning: GAN; signal_processing: Fourier, spectral analysis",
Forooghifar et al. - 2019 - Resource-Aware Distributed Epilepsy Monitoring Using Self-Awareness From Edge to Cloud.md,Resource-Aware Distributed Epilepsy Monitoring Using Self-Awareness From Edge to Cloud,Forooghifar et al.,2019.0,10737,ECG,detection,True,True,True,True,ECG; PPG; EEG,detection,review; clinical_trial; experimental,clinical; European Epilepsy Database; Epilepsiae; wearable,"deep_learning: deep learning, GAN, neural network; traditional_ml: random forest",patient_specific
Alshehri and Muhammad - 2021 - A Comprehensive Survey of the Internet of Things (IoT) and AI-Based Smart Healthcare.md,A Comprehensive Survey of the Internet of Things (IoT) and AI-Based Smart Healthcare,Alshehri and Muhammad,2021.0,14731,EEG,detection,True,True,True,True,ECG; PPG; EDA; ACC; EEG,detection,review,EMU; wearable,"deep_learning: CNN, convolutional neural network, LSTM, RNN, deep learning, GAN, neural network; traditional_ml: SVM, support vector, random forest; signal_processing: wavelet",patient_independent
Villanueva et al. - 2023 - Multimodal Minimally Invasive Wearable Technology for Epilepsy Monitoring A Feasibility Study of th.md,Multimodal Minimally Invasive Wearable Technology for Epilepsy Monitoring A Feasibility Study of th,Villanueva et al.,2023.0,11995,PPG,detection,True,True,True,False,ECG; HRV; PPG; EDA; ACC; EEG,detection; prediction,review; experimental,clinical; EMU; wearable,"deep_learning: GAN; signal_processing: spectral analysis, bandpass",patient_specific
Thijs et al. - 2021 - Autonomic manifestations of epilepsy emerging pathways to sudden death.md,Autonomic manifestations of epilepsy emerging pathways to sudden death,Thijs et al.,2021.0,14364,EEG,detection,True,True,True,False,ECG; HRV; PPG; EDA; ACC; EEG,detection,review; clinical_trial; retrospective; prospective; experimental,clinical; EMU; wearable,deep_learning: GAN,patient_specific
Pordoy et al. - 2025 - Enhanced Non-EEG Multimodal Seizure Detection A Real-World Model for Identifying Generalised Seizur.md,Enhanced Non-EEG Multimodal Seizure Detection A Real-World Model for Identifying Generalised Seizur,Pordoy et al.,2025.0,11719,EEG,prediction,True,True,True,True,ECG; PPG; ACC; EEG,detection; prediction,review; prospective; experimental,clinical; EMU; wearable,"deep_learning: CNN, convolutional neural network, LSTM, deep learning, GAN, neural network; traditional_ml: random forest",cross_validation
Nei et al. - 2000 - EKG Abnormalities During Partial Seizures in Refractory Epilepsy.md,EKG Abnormalities During Partial Seizures in Refractory Epilepsy,Nei et al.,2000.0,5016,ECG,prediction,True,False,True,False,ECG; EEG,prediction,review; clinical_trial; prospective; experimental,clinical,deep_learning: GAN,
Najafi et al. - 2024 - VersaSens An Extendable Multimodal Platform for Next-Generation Edge-AI Wearables.md,VersaSens An Extendable Multimodal Platform for Next-Generation Edge-AI Wearables,Najafi et al.,2024.0,10831,ECG,detection,True,True,True,True,ECG; PPG; EDA; ACC; EEG,detection,review; clinical_trial; experimental,wearable; clinical; TUSZ; Temple,"deep_learning: convolutional neural network, deep learning, transformer, GAN, neural network; traditional_ml: gradient boosting; signal_processing: Fourier",patient_specific
"Miron et al. - 2025 - Autonomic biosignals, seizure detection, and forecasting.md","Autonomic biosignals, seizure detection, and forecasting",Miron et al.,2025.0,13019,HRV,detection,True,True,True,True,ECG; HRV; PPG; EDA; ACC; EEG,detection; prediction; forecasting,review; clinical_trial; retrospective; prospective; experimental,clinical; wearable,"deep_learning: deep learning, GAN; traditional_ml: logistic regression",patient_specific
"Mikos et al. - 2019 - A Wearable, Patient-Adaptive Freezing of Gait Detection System for Biofeedback Cueing in Parkinson's.md","A Wearable, Patient-Adaptive Freezing of Gait Detection System for Biofeedback Cueing in Parkinson's",Mikos et al.,2019.0,10836,ECG,detection,True,True,True,True,ECG; ACC,detection,review; experimental,clinical; wearable,"deep_learning: deep learning, GAN, neural network; traditional_ml: SVM, support vector, random forest, decision tree, naive bayes; signal_processing: Fourier",patient_independent
Lee and Verma - 2013 - A Low-Power Processor With Configurable Embedded Machine-Learning Accelerators for High-Order and Ad.md,A Low-Power Processor With Configurable Embedded Machine-Learning Accelerators for High-Order and Ad,Lee and Verma,2013.0,7890,ECG,detection,True,True,True,True,ECG; EEG,detection,clinical_trial; prospective,clinical; Physionet; CHB-MIT; wearable,"deep_learning: GAN; traditional_ml: SVM, support vector; signal_processing: FFT, bandpass",patient_specific
Huang et al. - 2024 - Energy-Aware Integrated Neural Architecture Search and Partitioning for Distributed Internet of Thin.md,Energy-Aware Integrated Neural Architecture Search and Partitioning for Distributed Internet of Thin,Huang et al.,2024.0,13438,EEG,detection,True,True,True,False,ECG; EEG,detection,review; clinical_trial; experimental,CHB-MIT; wearable,"deep_learning: CNN, convolutional neural network, deep learning, GAN, neural network; signal_processing: bandpass",patient_specific
Hashash et al. - 2021 - Energy-Aware Distributed Edge ML for mHealth Applications With Strict Latency Requirements.md,Energy-Aware Distributed Edge ML for mHealth Applications With Strict Latency Requirements,Hashash et al.,2021.0,3604,EEG,prediction,True,True,True,True,ECG; EEG,detection; prediction,review,wearable,"deep_learning: CNN, convolutional neural network, deep learning, neural network; traditional_ml: SVM, logistic regression",
Dong et al. - 2022 - A Two-Layer Ensemble Method for Detecting Epileptic Seizures Using a Self-Annotation Bracelet With M.md,A Two-Layer Ensemble Method for Detecting Epileptic Seizures Using a Self-Annotation Bracelet With M,Dong et al.,2022.0,10998,ACC,detection,True,True,True,True,ECG; HRV; PPG; ACC; EEG,detection,review; prospective; experimental,clinical; wearable,"deep_learning: deep learning, GAN, neural network; traditional_ml: SVM, random forest, decision tree, logistic regression, kNN, naive bayes",cross_validation; patient_independent
Donati et al. - 2025 - Guest Editorial Ultralow-Power Technologies for Edge Computing in Human-Machine Interface Applicati.md,Guest Editorial Ultralow-Power Technologies for Edge Computing in Human-Machine Interface Applicati,Donati et al.,2025.0,1834,ECG,detection,True,True,True,False,ECG; EEG,detection,review,wearable,"deep_learning: CNN, convolutional neural network, deep learning, neural network",patient_specific
Chen et al. - 2022 - Deterministic Learning-Based WEST Syndrome Analysis and Seizure Detection on ECG.md,Deterministic Learning-Based WEST Syndrome Analysis and Seizure Detection on ECG,Chen et al.,2022.0,3880,ECG,detection,True,False,True,True,ECG; HRV; EEG,detection,review; clinical_trial; experimental,clinical,"deep_learning: LSTM, deep learning, autoencoder, neural network; traditional_ml: SVM, support vector, random forest, decision tree, kNN; signal_processing: Fourier, bandpass",cross_validation
Beniczky et al. - 2020 - Biomarkers of seizure severity derived from wearable devices.md,Biomarkers of seizure severity derived from wearable devices,Beniczky et al.,2020.0,4406,EEG,detection,True,True,True,False,ECG; HRV; EDA; ACC; EEG,detection; prediction,review; clinical_trial; retrospective; prospective,clinical; EMU; wearable,deep_learning: GAN,
Abtahi et al. - 2025 - Identification of Relevant ECG Features for Epileptic Seizure Prediction Using Interpretable Machine.md,Identification of Relevant ECG Features for Epileptic Seizure Prediction Using Interpretable Machine,Abtahi et al.,2025.0,8751,ECG,prediction,True,True,True,True,ECG; HRV; PPG; EDA; EEG,detection; prediction,review; experimental,clinical; Epilepsiae; wearable,"deep_learning: CNN, deep learning, GAN, neural network; traditional_ml: random forest, decision tree; signal_processing: wavelet, filtering",patient_specific
Statello et al. - 2021 - Heart rate variability in neonatal seizures Investigation and implications for management.md,Heart rate variability in neonatal seizures Investigation and implications for management,Statello et al.,2021.0,7992,HRV,detection,True,False,True,True,ECG; HRV; EEG,detection; prediction,review; retrospective; experimental,clinical,"deep_learning: GAN; traditional_ml: SVM, support vector; signal_processing: FFT, Fourier, spectral analysis",
Smolyansky et al. - 2021 - Machine learning models for decision support in epilepsy management a critical review.md,Machine learning models for decision support in epilepsy management a critical review,Smolyansky et al.,2021.0,10573,EEG,prediction,True,True,True,True,ECG; EEG,detection; prediction,review; clinical_trial; retrospective; prospective,clinical; wearable,"deep_learning: deep learning, GAN, neural network; traditional_ml: SVM, support vector, random forest, decision tree, XGBoost, k-NN, gradient boosting",cross_validation; patient_specific
Hixson and Braverman - 2020 - Digital tools for epilepsy Opportunities and barriers.md,Digital tools for epilepsy Opportunities and barriers,Hixson and Braverman,2020.0,9154,ACC,detection,True,True,True,False,HRV; EDA; ACC; EEG,detection; forecasting,review; clinical_trial; prospective,clinical; wearable,deep_learning: GAN,patient_specific
Amengual-Gual et al. - 2019 - Patterns of epileptic seizure occurrence.md,Patterns of epileptic seizure occurrence,Amengual-Gual et al.,2019.0,10813,EEG,prediction,True,True,True,False,ECG; EDA; ACC; EEG,detection; prediction,review; clinical_trial; retrospective,clinical; wearable,"deep_learning: deep learning, GAN",
Hamlin et al. - 2021 - Assessing the feasibility of detecting epileptic seizures using non-cerebral sensor data.md,Assessing the feasibility of detecting epileptic seizures using non-cerebral sensor data,Hamlin et al.,2021.0,8342,ACC,detection,True,True,True,True,ECG; HRV; PPG; EDA; ACC; EEG,detection,review; clinical_trial; prospective; experimental,clinical; EMU; wearable,"deep_learning: GAN; traditional_ml: SVM, support vector, kNN; signal_processing: FFT, Fourier, filtering, bandpass",patient_specific
Shum and Friedman - 2021 - Commercially available seizure detection devices A systematic review.md,Commercially available seizure detection devices A systematic review,Shum and Friedman,2021.0,7506,EEG,detection,True,True,True,False,ECG; HRV; EDA; ACC; EEG,detection; prediction; forecasting,review; clinical_trial; retrospective; prospective,clinical; EMU; wearable,deep_learning: GAN,patient_specific
Pordoy et al. - The Open Seizure Database Facilitating Research Into Non-EEG Seizure Detection.md,Pordoy et al. - The Open Seizure Database Facilitating Research Into Non-EEG Seizure Detection,,,8332,EEG,detection,True,True,True,False,ECG; PPG; EDA; ACC; EEG,detection; prediction,review; clinical_trial; prospective; experimental,European Epilepsy Database; EMU; wearable; clinical; Epilepsiae,"deep_learning: CNN, convolutional neural network, deep learning, GAN, neural network; signal_processing: FFT, Fourier, spectral analysis",
Jeppesen et al. - 2014 - Heart rate variability analysis indicates preictal parasympathetic overdrive preceding seizure-induc.md,Heart rate variability analysis indicates preictal parasympathetic overdrive preceding seizure-induc,Jeppesen et al.,2014.0,3088,HRV,prediction,True,False,False,False,ECG; HRV; EEG,prediction,review; clinical_trial; retrospective,clinical; EMU,signal_processing: spectral analysis,
Beniczky et al. - 2021 - Automated seizure detection using wearable devices A clinical practice guideline of the Internation.md,Automated seizure detection using wearable devices A clinical practice guideline of the Internation,Beniczky et al.,2021.0,10285,ACC,detection,True,True,True,False,ECG; HRV; PPG; EDA; ACC; EEG,detection; prediction,review; clinical_trial; retrospective; prospective; experimental,clinical; EMU; wearable,deep_learning: GAN,
